Epoch,train_acc,test_acc
0,16.61,24.61
1,28.99,30.73
2,35.03,36.28
3,38.73,36.21
4,41.23,37.24
5,44.86,42.27
6,48.04,46.59
7,51.03,46.46
8,51.62,48.13
9,55.28,50.45
10,56.54,51.35
11,58.92,54.12
12,59.8,52.51
13,61.78,55.86
14,63.17,55.61
15,62.69,55.99
16,64.77,58.18
17,64.89,57.8
18,67.11,59.09
19,67.03,59.02
20,68.41,60.76
21,68.1,59.79
22,67.91,60.5
23,69.41,60.95
24,69.19,60.5
25,70.16,61.28
26,69.72,60.7
27,70.31,60.24
28,70.62,63.02
29,70.8,61.47
30,70.91,62.69
31,70.63,61.79
32,70.75,63.14
33,71.76,62.5
34,71.6,62.76
35,72.64,62.95
36,72.15,62.11
37,72.28,63.92
38,72.18,63.53
39,72.59,63.72
40,72.42,62.89
41,73.41,64.69
42,73.18,63.66
43,73.03,64.05
44,73.58,63.79
45,73.63,63.98
46,73.52,64.5
47,73.93,63.6
48,73.8,64.18
49,74.58,64.82
50,74.78,64.37
51,74.17,64.56
52,74.9,65.01
53,75.92,65.01
54,75.07,64.82
55,74.97,64.5
56,75.62,65.85
57,76.01,64.88
58,76.11,65.79
59,76.35,65.46
60,75.85,64.88
61,76.65,65.14
62,76.77,65.4
63,76.5,65.34
64,76.89,65.72
65,77.06,66.11
66,76.72,65.46
67,77.13,66.24
68,77.13,65.79
69,77.44,65.14
70,77.16,66.04
71,77.37,66.3
72,78.22,65.91
73,78.42,66.88
74,78.46,66.49
75,78.2,66.04
76,78.3,66.62
77,78.56,67.07
78,79.05,65.53
79,77.91,67.07
80,78.47,66.43
81,78.88,66.82
82,79.32,66.95
83,79.31,66.49
84,79.29,66.04
85,79.43,66.75
86,79.31,66.75
87,79.37,65.79
88,78.95,66.62
89,79.77,66.82
90,79.85,66.95
91,79.39,67.01
92,80.38,66.75
93,80.26,66.43
94,80.29,67.14
95,80.84,66.69
96,80.6,66.49
97,80.5,66.69
98,80.84,66.62
99,80.7,65.91
100,80.55,67.72
101,81.48,66.17
102,81.04,67.72
103,81.47,66.04
104,81.09,67.53
105,81.23,66.37
106,81.19,67.33
107,81.52,66.88
108,81.57,66.62
109,82.11,66.75
110,81.38,67.07
111,81.82,67.33
112,81.77,66.75
113,82.21,67.59
114,82.33,66.82
115,81.47,67.14
116,82.16,67.2
117,82.62,67.33
118,82.15,67.98
119,82.66,67.2
120,82.96,67.78
121,82.84,67.33
122,83.18,67.4
123,82.96,67.59
124,82.71,67.59
125,83.23,67.65
126,82.64,67.65
127,82.43,67.91
128,82.93,67.46
129,83.32,68.23
130,83.15,66.56
131,82.78,68.23
132,83.25,66.62
133,83.22,68.17
134,83.68,68.04
135,83.34,67.14
136,83.86,67.14
137,84.2,66.95
138,83.32,67.27
139,84.41,67.72
140,84.65,67.59
141,83.59,67.72
142,83.71,67.78
143,84.39,66.82
144,84.51,67.91
145,84.15,67.33
146,85.05,67.27
147,84.75,66.75
148,84.7,67.78
149,84.97,67.14
150,84.42,67.4
151,85.0,67.78
152,85.16,66.62
153,84.51,67.46
154,85.39,66.95
155,85.12,67.46
156,85.16,67.46
157,85.16,67.14
158,85.24,67.4
159,85.44,66.88
160,85.29,67.07
161,85.78,67.07
162,85.65,67.65
163,85.61,66.49
164,85.82,67.14
165,85.89,66.88
166,86.16,67.59
167,85.82,67.2
168,86.5,67.14
169,85.6,66.3
170,86.14,67.85
171,85.75,66.88
172,86.23,67.14
173,86.67,67.01
174,86.28,66.69
175,86.43,67.07
176,86.77,66.69
177,86.6,67.33
178,86.5,66.24
179,86.6,67.85
180,86.52,67.01
181,87.26,66.56
182,87.47,66.11
183,86.98,67.07
184,86.87,66.62
185,87.18,67.85
186,86.92,66.62
187,86.74,67.33
188,87.66,66.62
189,87.16,66.56
190,87.47,67.2
191,87.64,67.27
192,87.38,67.07
193,87.79,66.88
194,87.54,66.37
195,87.84,66.62
196,87.88,66.62
197,87.54,67.33
198,88.78,66.49
199,87.84,66.82
200,88.51,66.75
201,87.96,66.75
202,87.69,67.2
203,87.81,66.62
204,87.98,66.95
205,88.25,67.01
206,88.39,66.88
207,88.88,66.88
208,88.49,67.2
209,88.28,66.43
210,88.81,67.59
211,88.59,67.27
212,89.19,66.75
213,89.12,67.2
214,89.19,67.01
215,89.03,66.95
216,89.05,67.01
217,89.24,66.88
218,89.08,67.14
219,89.2,67.01
220,89.83,67.33
221,89.1,66.82
222,89.3,66.69
223,89.51,67.33
224,89.17,66.43
225,89.37,67.2
226,89.22,66.69
227,89.54,67.46
228,89.81,66.69
229,89.25,66.82
230,89.81,66.11
231,89.87,66.95
232,89.53,66.88
233,89.85,66.49
234,89.63,67.72
235,89.85,66.43
236,90.0,67.78
237,90.19,66.82
238,90.07,67.01
239,90.1,66.24
240,90.48,67.78
241,90.87,67.2
242,90.29,67.27
243,90.49,68.43
244,90.66,66.82
245,90.48,66.62
246,90.34,67.98
247,90.85,66.62
248,90.68,66.69
249,91.0,67.85
250,90.6,66.17
251,90.58,67.27
252,90.99,67.85
253,90.78,67.53
254,90.65,67.4
255,91.12,67.14
256,91.14,66.62
257,91.06,67.2
258,91.89,66.62
259,91.16,67.72
260,91.35,66.56
261,90.99,67.4
262,91.7,67.01
263,91.31,67.07
264,91.7,67.27
265,91.41,66.82
266,91.43,67.2
267,91.52,67.2
268,92.01,66.95
269,91.33,66.56
270,91.92,67.14
271,91.84,67.27
272,91.46,67.07
273,91.97,66.75
274,92.11,66.3
275,91.89,67.59
276,92.13,67.72
277,91.97,66.75
278,91.97,67.2
279,92.28,66.56
280,92.3,67.72
281,92.3,66.43
282,92.01,67.14
283,92.26,66.95
284,92.5,67.27
285,92.35,67.46
286,92.67,67.01
287,92.62,67.07
288,92.64,67.4
289,92.59,66.62
290,92.21,66.62
291,92.57,66.69
292,92.3,66.62
293,93.18,67.46
294,92.55,66.88
295,93.06,66.62
296,92.76,66.04
297,92.57,66.75
298,92.67,67.01
299,93.1,67.01
300,92.98,66.95
301,93.01,66.3
302,92.96,66.62
303,93.1,67.33
304,93.01,66.3
305,93.16,67.59
306,93.23,65.91
307,93.4,66.43
308,93.42,66.88
309,93.4,66.56
310,93.2,67.2
311,93.15,66.88
312,93.42,67.27
313,93.67,67.14
314,93.74,67.07
315,93.1,66.43
316,93.59,67.4
317,93.62,66.37
318,93.1,67.07
319,93.76,67.27
320,93.64,67.2
321,93.84,67.72
322,94.17,66.43
323,93.69,66.88
324,94.01,67.27
325,93.83,67.4
326,94.05,67.27
327,93.83,67.98
328,94.03,65.91
329,94.25,67.07
330,94.17,66.37
331,94.12,66.24
332,94.07,67.01
333,94.27,66.49
334,94.05,67.78
335,94.42,66.11
336,94.3,67.33
337,94.63,66.43
338,94.3,67.46
339,94.44,66.62
340,94.41,67.72
341,94.3,66.24
342,94.51,67.53
343,94.86,67.33
344,94.86,67.01
345,94.29,67.01
346,95.14,66.56
347,94.37,67.33
348,94.17,67.14
349,95.34,67.01
350,94.9,66.56
351,94.9,66.82
352,94.78,66.17
353,94.92,66.56
354,95.0,66.95
355,94.97,66.69
356,94.64,67.14
357,94.69,66.62
358,95.15,66.69
359,94.81,66.82
360,94.97,66.82
361,95.1,66.56
362,95.26,66.3
363,94.61,66.37
364,95.17,66.69
365,94.83,67.2
366,95.05,67.14
367,95.49,66.62
368,94.93,67.14
369,95.78,66.17
370,95.39,67.27
371,95.51,67.07
372,95.43,66.62
