Epoch,Loss
0,7.2471
1,6.9669
2,6.7885
3,6.5878
4,6.4106
5,6.1847
6,5.9754
7,5.7164
8,5.4776
9,5.2357
10,5.0468
11,4.8581
12,4.678
13,4.5344
14,4.3152
15,4.1603
16,4.0367
17,3.9374
18,3.8419
19,3.7761
20,3.7334
21,3.6796
22,3.6386
23,3.6099
24,3.5445
25,3.5337
26,3.5058
27,3.471
28,3.4601
29,3.4325
30,3.3999
31,3.3927
32,3.3525
33,3.3364
34,3.3026
35,3.2947
36,3.2529
37,3.2438
38,3.2314
39,3.1922
40,3.1921
41,3.1614
42,3.1386
43,3.117
44,3.1227
45,3.0926
46,3.0856
47,3.0635
48,3.0407
49,3.0376
50,2.9994
51,2.9776
52,2.9543
53,2.9738
54,2.9423
55,2.9178
56,2.922
57,2.8927
58,2.8691
59,2.8737
60,2.8751
61,2.8428
62,2.8155
63,2.8129
64,2.8009
65,2.7766
66,2.7546
67,2.752
68,2.7569
69,2.7459
70,2.7263
71,2.7171
72,2.6802
73,2.6789
74,2.6652
75,2.6448
76,2.671
77,2.6372
78,2.6395
79,2.6262
80,2.6594
81,2.6086
82,2.5962
83,2.5841
84,2.5694
85,2.5642
86,2.5479
87,2.5474
88,2.5113
89,2.5169
90,2.5261
91,2.5063
92,2.4905
93,2.4855
94,2.4777
95,2.4609
96,2.4695
97,2.4557
98,2.4419
99,2.4392
100,2.4063
101,2.4042
102,2.4036
103,2.3911
104,2.3702
105,2.3942
106,2.3595
107,2.3703
108,2.3665
109,2.3648
110,2.3729
111,2.3446
112,2.3243
113,2.3044
114,2.2918
115,2.2995
116,2.302
117,2.3332
118,2.2813
119,2.2939
120,2.2684
121,2.2561
122,2.2683
123,2.2512
124,2.2456
125,2.2412
126,2.2161
127,2.2329
128,2.2011
129,2.2034
130,2.1931
131,2.2012
132,2.1749
133,2.1688
134,2.1578
135,2.1619
136,2.1869
137,2.1461
138,2.1499
139,2.1474
140,2.1171
141,2.1204
142,2.1122
143,2.1125
144,2.0948
145,2.1016
146,2.0967
147,2.0807
148,2.0796
149,2.0852
150,2.0894
151,2.0686
152,2.074
153,2.0473
154,2.0679
155,2.0373
156,2.059
157,2.0322
158,2.0265
159,2.0016
160,1.998
161,1.9983
162,2.0149
163,1.9965
164,1.998
165,2.0103
166,1.9794
167,1.9791
168,1.9655
169,1.9797
170,1.944
171,1.9811
172,1.9659
173,1.9367
174,1.9398
175,1.9337
176,1.9353
177,1.9378
178,1.9052
179,1.8976
180,1.8951
181,1.9101
182,1.8915
183,1.8861
184,1.867
185,1.8743
186,1.859
187,1.8824
188,1.8844
189,1.8459
190,1.8743
191,1.8433
192,1.8471
193,1.828
194,1.8508
195,1.8154
196,1.8265
197,1.7897
198,1.8157
199,1.8028
200,1.794
201,1.7964
202,1.7843
203,1.7917
204,1.783
205,1.772
206,1.7856
207,1.7539
208,1.7466
209,1.7637
210,1.7348
211,1.7643
212,1.7262
213,1.7567
214,1.7241
215,1.7438
216,1.7412
217,1.7517
218,1.7192
219,1.7036
220,1.7012
221,1.701
222,1.6849
223,1.6936
224,1.6984
225,1.6713
226,1.6745
227,1.6737
228,1.6699
229,1.6824
230,1.6686
231,1.6846
232,1.6839
233,1.6393
234,1.6515
235,1.634
236,1.6512
237,1.6566
238,1.6255
239,1.6345
240,1.6349
241,1.6011
242,1.6426
243,1.6078
244,1.6077
245,1.6093
246,1.6073
247,1.5863
248,1.578
249,1.6
250,1.6035
251,1.5847
252,1.5904
253,1.5697
254,1.5669
255,1.5541
256,1.5714
257,1.5581
258,1.5668
259,1.5608
260,1.5641
261,1.5564
262,1.5466
263,1.5392
264,1.5153
265,1.5474
266,1.5243
267,1.5145
268,1.497
269,1.5056
270,1.5176
271,1.5039
272,1.4979
273,1.4822
274,1.4949
275,1.4867
276,1.4864
277,1.4872
278,1.4961
279,1.4806
280,1.4766
281,1.4525
282,1.4792
283,1.4569
284,1.4565
285,1.4537
286,1.4583
287,1.4325
288,1.4397
289,1.4537
290,1.4489
291,1.4158
292,1.4271
293,1.4167
294,1.4423
295,1.4437
296,1.4208
297,1.396
298,1.4233
299,1.4314
300,1.4022
301,1.4102
302,1.3965
303,1.3798
304,1.389
305,1.4046
306,1.374
307,1.3865
308,1.3855
309,1.3731
310,1.3776
311,1.357
312,1.3753
313,1.3657
314,1.3502
315,1.362
316,1.3431
317,1.3353
318,1.3364
319,1.3372
320,1.3502
321,1.3413
322,1.3547
323,1.3323
324,1.3309
